# time passed	number of events
11242.500	211.000
11250.000	254.000
11257.500	246.000
11265.000	241.000
11272.500	245.000
11280.000	229.000
11287.500	230.000
11295.000	238.000
11302.500	238.000
11310.000	227.000
11317.500	224.000
11325.000	217.000
11332.500	244.000
11340.000	218.000
11347.500	267.000
11355.000	258.000
11362.500	261.000
11370.000	237.000
11377.500	215.000
11385.000	236.000
11392.500	216.000
11400.000	253.000
11407.500	249.000
11415.000	240.000
11422.500	241.000
11430.000	233.000
11437.500	241.000
11445.000	238.000
11452.500	262.000
11460.000	267.000
11467.500	251.000
11475.000	253.000
11482.500	217.000
11490.000	256.000
11497.500	234.000
11505.000	245.000
11512.500	259.000
11520.000	217.000
11527.500	247.000
11535.000	263.000
11542.500	235.000
11550.000	245.000
11557.500	219.000
11565.000	262.000
11572.500	234.000
11580.000	250.000
11587.500	220.000
11595.000	250.000
11602.500	236.000
11610.000	249.000
11617.500	258.000
11625.000	242.000
11632.500	233.000
11640.000	242.000
11647.500	261.000
11655.000	259.000
11662.500	253.000
11670.000	231.000
11677.500	224.000
11685.000	225.000
11692.500	234.000
11700.000	238.000
11707.500	227.000
11715.000	229.000
11722.500	219.000
11730.000	225.000
